2020-02-01 12:57:59 meter=4502 pv=2878, total=7380
2020-02-01 13:01:47 meter=4501 pv=2926, total=7427
2020-02-01 13:01:49 meter=4501 pv=2926, total=7427
2020-02-01 13:01:51 meter=4501 pv=2926, total=7427
2020-02-01 13:01:53 meter=4502 pv=2926, total=7428
2020-02-01 13:01:55 meter=4502 pv=2926, total=7428
2020-02-01 13:01:57 meter=4501 pv=2926, total=7427
2020-02-01 13:01:59 meter=4501 pv=2926, total=7427
2020-02-01 13:02:01 meter=4502 pv=2930, total=7432
2020-02-01 13:02:03 meter=4501 pv=2930, total=7431
2020-02-01 13:02:05 meter=4500 pv=2930, total=7430
2020-02-01 13:02:07 meter=4501 pv=2930, total=7431
2020-02-01 13:02:09 meter=4501 pv=2930, total=7431
2020-02-01 13:02:11 meter=4501 pv=2930, total=7431
2020-02-01 13:02:13 meter=4502 pv=2930, total=7432
2020-02-01 13:02:15 meter=4501 pv=2930, total=7431
2020-02-01 13:02:17 meter=4502 pv=2930, total=7432
2020-02-01 13:02:19 meter=4503 pv=2930, total=7433
2020-02-01 13:02:21 meter=4504 pv=2934, total=7438
2020-02-01 13:03:41 meter=4500 pv=2949, total=7449
2020-02-01 13:03:43 meter=4500 pv=2949, total=7449
2020-02-01 13:03:45 meter=4500 pv=2949, total=7449
2020-02-01 13:03:47 meter=4499 pv=2949, total=7448
2020-02-01 13:03:49 meter=4498 pv=2949, total=7447
2020-02-01 13:03:51 meter=4498 pv=2949, total=7447
2020-02-01 13:03:53 meter=4498 pv=2949, total=7447
2020-02-01 13:03:55 meter=4499 pv=2949, total=7448
2020-02-01 13:03:57 meter=4499 pv=2949, total=7448
2020-02-01 13:03:59 meter=4499 pv=2949, total=7448
2020-02-01 13:04:01 meter=4500 pv=2953, total=7453
2020-02-01 13:04:03 meter=4499 pv=2953, total=7452
2020-02-01 13:04:05 meter=4500 pv=2953, total=7453
2020-02-01 13:04:07 meter=4501 pv=2953, total=7454
2020-02-01 13:04:09 meter=4500 pv=2953, total=7453
2020-02-01 13:04:11 meter=4500 pv=2953, total=7453
2020-02-01 13:04:13 meter=4500 pv=2953, total=7453
2020-02-01 13:04:15 meter=4500 pv=2953, total=7453
2020-02-01 13:04:17 meter=4500 pv=2953, total=7453
2020-02-01 13:04:19 meter=4499 pv=2953, total=7452
2020-02-01 13:06:16 meter=4501 pv=2976, total=7477
2020-02-01 13:06:18 meter=4501 pv=2976, total=7477
2020-02-01 13:06:20 meter=4501 pv=2980, total=7481
2020-02-01 13:06:22 meter=4500 pv=2980, total=7480
2020-02-01 13:06:24 meter=4500 pv=2980, total=7480
2020-02-01 13:06:26 meter=4501 pv=2980, total=7481
2020-02-01 13:06:28 meter=4500 pv=2980, total=7480
2020-02-01 13:06:30 meter=4501 pv=2980, total=7481
2020-02-01 13:06:32 meter=4500 pv=2980, total=7480
2020-02-01 13:06:34 meter=4501 pv=2980, total=7481
2020-02-01 13:06:36 meter=4500 pv=2980, total=7480
2020-02-01 13:06:38 meter=4499 pv=2980, total=7479
2020-02-01 13:06:40 meter=4500 pv=2983, total=7483
2020-02-01 13:06:42 meter=4500 pv=2983, total=7483
2020-02-01 13:06:44 meter=4499 pv=2983, total=7482
2020-02-01 13:06:46 meter=4500 pv=2983, total=7483
2020-02-01 13:06:48 meter=4499 pv=2983, total=7482
2020-02-01 13:06:50 meter=4498 pv=2983, total=7481
2020-02-01 13:06:52 meter=4499 pv=2983, total=7482
2020-02-01 13:06:54 meter=4498 pv=2983, total=7481
2020-02-01 13:06:56 meter=4498 pv=2983, total=7481
2020-02-01 13:06:58 meter=4498 pv=2983, total=7481
2020-02-01 13:07:00 meter=4499 pv=2987, total=7486
2020-02-01 13:07:02 meter=4499 pv=2987, total=7486
2020-02-01 13:07:04 meter=4500 pv=2987, total=7487
2020-02-01 13:07:06 meter=4500 pv=2987, total=7487
2020-02-01 13:07:08 meter=4500 pv=2987, total=7487
2020-02-01 13:07:10 meter=4500 pv=2987, total=7487
2020-02-01 13:07:12 meter=4500 pv=2987, total=7487
2020-02-01 13:07:14 meter=4501 pv=2987, total=7488
2020-02-01 13:07:16 meter=4502 pv=2987, total=7489
2020-02-01 13:07:18 meter=4503 pv=2987, total=7490
2020-02-01 13:07:20 meter=4502 pv=2991, total=7493
2020-02-01 13:07:22 meter=4502 pv=2991, total=7493
2020-02-01 13:09:23 meter=4499 pv=3012, total=7511
2020-02-01 13:09:25 meter=4499 pv=3012, total=7511
2020-02-01 13:09:27 meter=4498 pv=3012, total=7510
2020-02-01 13:09:29 meter=4497 pv=3012, total=7509
2020-02-01 13:09:31 meter=4498 pv=3012, total=7510
2020-02-01 13:09:33 meter=4497 pv=3012, total=7509
2020-02-01 13:09:35 meter=4498 pv=3012, total=7510
2020-02-01 13:10:18 meter=4501 pv=3019, total=7520
2020-02-01 13:10:20 meter=4500 pv=3023, total=7523
2020-02-01 13:10:22 meter=4499 pv=3023, total=7522
2020-02-01 13:10:24 meter=4498 pv=3023, total=7521
2020-02-01 13:10:26 meter=4499 pv=3023, total=7522
2020-02-01 13:10:28 meter=4499 pv=3023, total=7522
2020-02-01 13:10:30 meter=4499 pv=3023, total=7522
2020-02-01 13:10:32 meter=4500 pv=3023, total=7523
2020-02-01 13:10:34 meter=4500 pv=3023, total=7523
2020-02-01 13:10:36 meter=4501 pv=3023, total=7524
2020-02-01 13:10:38 meter=4502 pv=3023, total=7525
2020-02-01 13:10:40 meter=4503 pv=3026, total=7529
2020-02-01 13:10:42 meter=4502 pv=3026, total=7528
2020-02-01 13:10:44 meter=4503 pv=3026, total=7529
2020-02-01 13:10:46 meter=4503 pv=3026, total=7529
2020-02-01 13:10:48 meter=4502 pv=3026, total=7528
2020-02-01 13:10:50 meter=4501 pv=3026, total=7527
2020-02-01 13:10:52 meter=4500 pv=3026, total=7526
2020-02-01 13:10:54 meter=4499 pv=3026, total=7525
2020-02-01 13:10:56 meter=4498 pv=3026, total=7524
2020-02-01 13:10:58 meter=4499 pv=3026, total=7525
2020-02-01 13:11:00 meter=4500 pv=3029, total=7529
2020-02-01 13:11:02 meter=4499 pv=3029, total=7528
2020-02-01 13:11:04 meter=4500 pv=3029, total=7529
2020-02-01 13:11:06 meter=4499 pv=3029, total=7528
2020-02-01 13:11:08 meter=4500 pv=3029, total=7529
2020-02-01 13:11:10 meter=4500 pv=3029, total=7529
2020-02-01 13:11:12 meter=4500 pv=3029, total=7529
2020-02-01 13:11:14 meter=4499 pv=3029, total=7528
2020-02-01 13:11:16 meter=4500 pv=3029, total=7529
2020-02-01 13:11:18 meter=4501 pv=3029, total=7530
2020-02-01 13:11:20 meter=4501 pv=3033, total=7534
2020-02-01 13:11:22 meter=4501 pv=3033, total=7534
2020-02-01 13:11:24 meter=4502 pv=3033, total=7535
2020-02-01 13:11:26 meter=4501 pv=3033, total=7534
2020-02-01 13:11:28 meter=4502 pv=3033, total=7535
2020-02-01 13:11:30 meter=4502 pv=3033, total=7535
2020-02-01 13:11:32 meter=4501 pv=3033, total=7534
2020-02-01 13:11:34 meter=4502 pv=3033, total=7535
2020-02-01 13:11:36 meter=4501 pv=3033, total=7534
2020-02-01 13:11:38 meter=4500 pv=3033, total=7533
2020-02-01 13:11:40 meter=4501 pv=3036, total=7537
2020-02-01 13:11:42 meter=4501 pv=3036, total=7537
2020-02-01 13:11:44 meter=4502 pv=3036, total=7538
2020-02-01 13:11:46 meter=4502 pv=3036, total=7538
2020-02-01 13:11:48 meter=4501 pv=3036, total=7537
2020-02-01 13:11:50 meter=4502 pv=3036, total=7538
2020-02-01 13:11:52 meter=4501 pv=3036, total=7537
2020-02-01 13:11:54 meter=4502 pv=3036, total=7538
2020-02-01 13:11:56 meter=4502 pv=3036, total=7538
2020-02-01 13:11:58 meter=4502 pv=3036, total=7538
2020-02-01 13:12:00 meter=4501 pv=3040, total=7541
2020-02-01 13:12:02 meter=4500 pv=3040, total=7540
2020-02-01 13:12:04 meter=4500 pv=3040, total=7540
2020-02-01 13:12:06 meter=4500 pv=3040, total=7540
2020-02-01 13:12:08 meter=4499 pv=3040, total=7539
2020-02-01 13:12:10 meter=4498 pv=3040, total=7538
2020-02-01 13:12:12 meter=4499 pv=3040, total=7539
2020-02-01 13:12:14 meter=4499 pv=3040, total=7539
2020-02-01 13:12:16 meter=4500 pv=3040, total=7540
2020-02-01 13:12:18 meter=4501 pv=3040, total=7541
2020-02-01 13:12:20 meter=4502 pv=3043, total=7545
2020-02-01 13:12:22 meter=4501 pv=3043, total=7544
2020-02-01 13:12:24 meter=4501 pv=3043, total=7544
2020-02-01 13:12:26 meter=4501 pv=3043, total=7544
2020-02-01 13:12:28 meter=4500 pv=3043, total=7543
2020-02-01 13:12:30 meter=4499 pv=3043, total=7542
2020-02-01 13:12:32 meter=4498 pv=3043, total=7541
2020-02-01 13:12:34 meter=4499 pv=3043, total=7542
2020-02-01 13:12:36 meter=4498 pv=3043, total=7541
2020-02-01 13:12:38 meter=4497 pv=3043, total=7540
2020-02-01 13:12:40 meter=4498 pv=3046, total=7544
2020-02-01 13:12:42 meter=4499 pv=3046, total=7545
2020-02-01 13:12:44 meter=4500 pv=3046, total=7546
2020-02-01 13:12:46 meter=4500 pv=3046, total=7546
2020-02-01 13:12:48 meter=4500 pv=3046, total=7546
2020-02-01 13:12:50 meter=4501 pv=3046, total=7547
2020-02-01 13:12:52 meter=4501 pv=3046, total=7547
2020-02-01 13:12:54 meter=4500 pv=3046, total=7546
2020-02-01 13:12:56 meter=4499 pv=3046, total=7545
2020-02-01 13:12:58 meter=4500 pv=3046, total=7546
2020-02-01 13:13:00 meter=4501 pv=3050, total=7551
2020-02-01 13:13:02 meter=4501 pv=3050, total=7551
2020-02-01 13:13:04 meter=4501 pv=3050, total=7551
2020-02-01 13:13:06 meter=4501 pv=3050, total=7551
2020-02-01 13:13:08 meter=4502 pv=3050, total=7552
2020-02-01 13:13:10 meter=4503 pv=3050, total=7553
2020-02-01 13:13:12 meter=4503 pv=3050, total=7553
2020-02-01 13:13:14 meter=4502 pv=3050, total=7552
2020-02-01 13:13:16 meter=4503 pv=3050, total=7553
2020-02-01 13:13:18 meter=4504 pv=3050, total=7554
2020-02-01 13:13:20 meter=4504 pv=3053, total=7557
2020-02-01 13:13:22 meter=4504 pv=3053, total=7557
2020-02-01 13:13:24 meter=4505 pv=3053, total=7558
2020-02-01 13:13:26 meter=4506 pv=3053, total=7559
2020-02-01 13:13:28 meter=4507 pv=3053, total=7560
2020-02-01 13:13:30 meter=4506 pv=3053, total=7559
2020-02-01 13:13:32 meter=4506 pv=3053, total=7559
